Date,Open,High,Low,Close,Adj Close,Volume
1996-01-02,19.833332,19.666666,19.500000,19.500000,6.987460,4800
1996-01-03,19.479166,19.479166,19.479166,19.479166,6.979998,2400
1996-01-04,19.479166,19.583332,19.291666,19.583332,7.017321,2400
1996-01-05,19.583332,19.583332,19.583332,19.583332,7.017321,0
1996-01-08,19.583332,19.375000,19.083332,19.083332,6.838158,2400
1996-01-09,18.583332,19.170834,18.500000,19.170834,6.869512,21600
1996-01-10,19.166666,19.333332,19.166666,19.333332,6.927741,1670400
1996-01-11,19.333332,19.166666,18.500000,19.083332,6.838158,9600
1996-01-12,19.083332,19.083332,19.083332,19.083332,6.838158,0
1996-01-15,19.083332,19.083332,19.083332,19.083332,6.838158,0
1996-01-16,19.583332,19.583332,19.166666,19.583332,7.017321,4800
1996-01-17,19.583332,19.583332,19.583332,19.583332,7.017321,0
1996-01-18,18.333332,18.333332,18.333332,18.333332,6.569408,1200
1996-01-19,18.333332,18.333332,18.333332,18.333332,6.569408,0
1996-01-22,18.333332,18.333332,18.333332,18.333332,6.569408,0
1996-01-23,18.333332,18.333332,18.333332,18.333332,6.569408,0
1996-01-24,18.333332,18.333332,18.333332,18.333332,6.569408,0
1996-01-25,18.333332,18.333332,18.333332,18.333332,6.569408,1200
1996-01-26,18.333332,18.333332,18.333332,18.333332,6.569408,0
1996-01-29,18.333332,18.666666,18.545834,18.600000,6.664963,10800
1996-01-30,18.600000,18.750000,18.420834,18.750000,6.718712,20400
1996-01-31,18.750000,18.750000,18.750000,18.750000,6.718712,0
1996-02-01,18.750000,19.166666,18.750000,19.166666,6.868018,14400
1996-02-02,19.500000,20.000000,19.337500,19.504166,6.988954,19200
1996-02-05,20.000000,21.416666,20.000000,21.416666,7.674265,37200
1996-02-06,21.416666,22.333332,21.666666,22.166666,7.943012,22800
1996-02-07,22.166666,21.687500,21.666666,21.666666,7.763845,4800
1996-02-08,21.666666,22.416666,21.791666,22.083332,7.913153,4800
1996-02-09,22.833332,22.833332,22.333332,22.808332,8.172938,13200
1996-02-12,22.808332,24.583332,23.583332,23.750000,8.510367,471600
1996-02-13,23.750000,25.125000,24.166666,24.583332,8.808980,79200
1996-02-14,24.587500,24.916666,24.587500,24.587500,8.810473,7200
1996-02-15,24.750000,24.750000,24.583332,24.583332,8.808980,9600
1996-02-16,24.583332,24.583332,24.166666,24.266666,8.695506,36000
1996-02-19,24.266666,24.583332,23.754166,24.583332,8.808980,20400
1996-02-20,24.583332,24.166666,23.750000,23.916666,8.570093,9600
1996-02-21,23.916666,23.916666,23.916666,23.916666,8.570093,0
